Road_Type,Weather,Visibility_km,Road_Surface,Light_Condition,Vehicle_Speed,Traffic_Density,Vehicle_Type,Driver_Age,Driver_Experience,Alcohol_Consumption,Seat_Belt,Time_of_Day,Day_of_Week,Area_Type,Road_Curvature,Junction_Type,Traffic_Signal,Pedestrian_Crossing,Rain,Fog,Temperature_C,Accident_Occurred
Rural Road,Foggy,9.2,Dry,Dark - Lit,116.0,Low,Truck,50,9,No,Yes,Afternoon,Sunday,Urban,Sharp Curve,Crossroad,No,No,No,No,27.3,1
Residential,Snowy,5.3,Wet,Dark - Lit,85.5,High,Bus,58,0,No,Yes,Night,Saturday,Rural,Straight,No Junction,No,No,No,No,10.8,1
Highway,Clear,7.3,Wet,Dark - Unlit,27.8,Medium,Bus,57,31,No,No,Evening,Wednesday,Rural,Slight Curve,T-Junction,No,No,Yes,No,17.4,0
Rural Road,Rainy,4.5,Dry,Dusk/Dawn,148.6,Low,Motorcycle,18,31,No,Yes,Evening,Thursday,Rural,Straight,Crossroad,Yes,No,Yes,No,27.3,1
Rural Road,Rainy,6.4,Dry,Dusk/Dawn,157.2,Medium,Car,59,26,Yes,Yes,Night,Sunday,Rural,Straight,Roundabout,No,Yes,No,No,19.0,1
Residential,Snowy,3.5,Dry,Dusk/Dawn,80.3,Low,Motorcycle,34,12,No,No,Night,Wednesday,Rural,Straight,T-Junction,Yes,Yes,No,No,-5.8,1
Highway,Windy,3.2,Dry,Dark - Lit,105.9,Low,Truck,67,16,No,No,Evening,Sunday,Rural,Straight,No Junction,Yes,No,No,No,9.9,0
Highway,Clear,5.9,Wet,Daylight,83.0,Low,Car,33,27,No,Yes,Afternoon,Saturday,Urban,Straight,No Junction,No,Yes,No,No,43.4,0
Rural Road,Foggy,5.1,Dry,Daylight,65.1,Low,Motorcycle,19,24,No,Yes,Evening,Sunday,Rural,Straight,Roundabout,No,Yes,Yes,No,17.6,0
Urban Road,Clear,5.9,Dry,Dark - Unlit,30.8,Low,Truck,71,35,No,No,Afternoon,Thursday,Rural,Straight,Roundabout,No,No,No,Yes,12.6,0
Rural Road,Rainy,3.0,Dry,Dusk/Dawn,83.8,Low,Car,66,1,No,No,Evening,Friday,Rural,Straight,T-Junction,No,No,No,No,38.9,1
Rural Road,Clear,3.8,Dry,Dark - Unlit,134.6,Low,Car,21,31,No,Yes,Evening,Wednesday,Urban,Slight Curve,Crossroad,Yes,Yes,No,No,26.5,1
Rural Road,Clear,1.0,Muddy,Daylight,22.4,High,Truck,49,31,No,Yes,Afternoon,Saturday,Rural,Straight,T-Junction,No,Yes,Yes,No,13.5,0
Rural Road,Clear,0.7,Dry,Daylight,101.5,High,Car,24,5,No,Yes,Morning,Friday,Urban,Straight,T-Junction,No,No,No,No,22.7,0
Residential,Rainy,2.7,Icy,Dusk/Dawn,143.3,High,Motorcycle,46,30,No,Yes,Afternoon,Thursday,Urban,Sharp Curve,No Junction,Yes,No,No,No,8.5,1
Highway,Clear,0.9,Icy,Dark - Unlit,50.5,Medium,Motorcycle,26,8,No,Yes,Morning,Monday,Urban,Straight,T-Junction,No,No,No,No,34.2,0
Residential,Foggy,1.2,Dry,Dusk/Dawn,45.7,Low,Motorcycle,52,15,No,Yes,Afternoon,Tuesday,Urban,Straight,Crossroad,Yes,No,No,No,29.4,0
Residential,Clear,8.2,Wet,Daylight,128.1,High,Car,69,24,No,No,Evening,Sunday,Urban,Straight,T-Junction,No,Yes,No,No,2.0,0
Residential,Clear,0.6,Dry,Daylight,55.7,High,Car,70,39,No,Yes,Afternoon,Thursday,Rural,Straight,Roundabout,Yes,Yes,No,No,6.9,0
Rural Road,Snowy,6.7,Wet,Dusk/Dawn,46.9,High,Truck,22,27,No,No,Morning,Thursday,Rural,Straight,T-Junction,No,Yes,No,No,-9.8,1
Urban Road,Clear,2.9,Dry,Dark - Unlit,72.9,Low,Truck,67,16,No,No,Evening,Sunday,Urban,Slight Curve,Roundabout,Yes,Yes,No,No,33.5,1
Highway,Clear,8.7,Icy,Dark - Lit,75.0,Low,Car,38,30,No,No,Afternoon,Sunday,Rural,Slight Curve,No Junction,No,No,Yes,Yes,-5.0,1
Urban Road,Foggy,5.0,Dry,Dusk/Dawn,142.4,Medium,Motorcycle,34,22,No,Yes,Afternoon,Tuesday,Rural,Straight,No Junction,No,No,No,No,21.5,0
Residential,Clear,3.2,Wet,Daylight,106.6,Medium,Car,56,30,No,Yes,Evening,Tuesday,Rural,Straight,No Junction,No,No,No,Yes,36.5,0
Residential,Clear,5.3,Dry,Dark - Lit,76.8,Low,Bus,31,25,No,Yes,Morning,Friday,Rural,Straight,No Junction,No,No,No,No,43.1,0
Urban Road,Clear,3.9,Icy,Dusk/Dawn,94.8,Medium,Motorcycle,49,3,No,No,Afternoon,Thursday,Rural,Straight,Crossroad,No,No,No,No,7.5,0
Urban Road,Windy,5.7,Dry,Dark - Lit,153.6,High,Bus,32,38,No,Yes,Morning,Thursday,Urban,Straight,No Junction,Yes,Yes,Yes,No,0.1,1
Urban Road,Rainy,1.3,Wet,Dusk/Dawn,35.9,Medium,Truck,38,14,No,Yes,Afternoon,Sunday,Urban,Sharp Curve,T-Junction,Yes,Yes,No,No,44.3,0
Residential,Foggy,10.0,Dry,Daylight,49.1,High,Car,71,36,No,Yes,Afternoon,Wednesday,Urban,Straight,No Junction,Yes,No,No,No,0.2,0
Residential,Rainy,4.4,Dry,Dusk/Dawn,154.8,Medium,Bus,31,37,No,Yes,Night,Tuesday,Urban,Slight Curve,Roundabout,Yes,No,No,No,-1.7,1
Highway,Clear,3.6,Wet,Dark - Lit,154.0,High,Car,58,22,No,No,Night,Saturday,Rural,Straight,Roundabout,Yes,Yes,No,No,40.9,1
Highway,Clear,7.2,Muddy,Dark - Unlit,44.8,Medium,Bus,33,4,No,Yes,Afternoon,Monday,Rural,Straight,Crossroad,Yes,No,No,No,41.5,0
Residential,Foggy,3.8,Dry,Daylight,40.3,Medium,Car,68,24,Yes,Yes,Night,Thursday,Urban,Sharp Curve,Crossroad,Yes,No,Yes,No,16.4,1
Urban Road,Clear,8.4,Muddy,Daylight,79.0,Low,Motorcycle,18,29,No,Yes,Morning,Wednesday,Urban,Slight Curve,No Junction,No,No,Yes,No,25.2,0
Urban Road,Clear,4.7,Wet,Dark - Lit,27.0,Low,Truck,57,25,No,No,Night,Monday,Rural,Slight Curve,No Junction,Yes,Yes,No,No,13.0,0
Highway,Clear,7.3,Icy,Dusk/Dawn,111.7,High,Motorcycle,35,2,No,Yes,Evening,Friday,Urban,Slight Curve,Roundabout,No,No,Yes,No,41.0,1
Residential,Clear,1.3,Dry,Dusk/Dawn,30.8,Low,Truck,51,3,No,No,Night,Saturday,Rural,Straight,No Junction,Yes,Yes,No,No,35.9,0
Highway,Windy,8.5,Dry,Dusk/Dawn,28.1,High,Motorcycle,43,17,No,Yes,Afternoon,Wednesday,Urban,Sharp Curve,No Junction,Yes,No,No,No,18.3,0
Highway,Clear,7.4,Icy,Daylight,87.9,Low,Truck,53,36,No,Yes,Evening,Monday,Rural,Sharp Curve,T-Junction,Yes,Yes,No,No,14.5,0
Rural Road,Rainy,2.3,Dry,Daylight,154.1,Low,Motorcycle,38,10,No,Yes,Afternoon,Thursday,Rural,Slight Curve,T-Junction,Yes,No,No,No,27.8,1
Rural Road,Clear,1.6,Dry,Dark - Lit,79.8,High,Car,18,10,No,Yes,Night,Wednesday,Urban,Slight Curve,Crossroad,No,No,No,No,26.6,1
Rural Road,Windy,3.3,Dry,Dusk/Dawn,69.9,Medium,Motorcycle,44,35,No,Yes,Afternoon,Tuesday,Urban,Straight,No Junction,Yes,No,No,No,-5.5,0
Urban Road,Clear,9.8,Dry,Dusk/Dawn,159.7,High,Bus,68,15,No,Yes,Night,Monday,Rural,Straight,No Junction,Yes,No,No,No,5.3,0
Residential,Clear,2.7,Wet,Dark - Lit,94.5,High,Bus,28,24,No,Yes,Morning,Sunday,Urban,Straight,Roundabout,No,Yes,Yes,No,14.1,0
Residential,Foggy,4.7,Wet,Daylight,72.5,High,Car,73,0,No,Yes,Evening,Sunday,Urban,Straight,T-Junction,No,No,No,No,20.8,1
Residential,Foggy,0.5,Wet,Daylight,74.0,Low,Car,55,25,No,Yes,Evening,Thursday,Rural,Slight Curve,No Junction,No,No,No,No,0.5,1
Residential,Clear,4.1,Dry,Dark - Unlit,47.3,Low,Car,68,29,No,Yes,Morning,Wednesday,Urban,Straight,T-Junction,Yes,No,No,No,7.6,0
Rural Road,Clear,5.8,Dry,Dark - Unlit,91.7,Low,Bus,31,5,Yes,Yes,Evening,Saturday,Urban,Straight,Crossroad,Yes,Yes,Yes,Yes,17.7,1
Urban Road,Clear,9.5,Dry,Dusk/Dawn,81.4,High,Motorcycle,45,26,No,Yes,Afternoon,Monday,Rural,Sharp Curve,Roundabout,No,Yes,No,No,39.5,0
Urban Road,Clear,5.3,Dry,Daylight,57.9,Medium,Car,72,18,No,Yes,Afternoon,Friday,Urban,Straight,Crossroad,Yes,Yes,Yes,No,11.3,0
Rural Road,Clear,8.2,Icy,Dusk/Dawn,42.5,Medium,Motorcycle,44,37,No,Yes,Night,Sunday,Rural,Straight,No Junction,Yes,Yes,No,No,6.2,0
Urban Road,Rainy,5.6,Wet,Daylight,63.6,High,Truck,39,18,No,Yes,Evening,Friday,Rural,Straight,No Junction,No,No,Yes,No,36.9,0
Rural Road,Clear,0.6,Dry,Dark - Unlit,91.2,High,Motorcycle,38,38,No,Yes,Evening,Tuesday,Rural,Straight,No Junction,No,No,No,No,2.7,0
Residential,Clear,3.3,Icy,Dark - Lit,28.2,Medium,Motorcycle,73,31,No,Yes,Evening,Wednesday,Rural,Slight Curve,T-Junction,No,No,No,No,23.2,0
